,Tag1,Tag2,Tag3,Tag4,Tag5
2012-07-19 16:47:49.671000,Off,Tag not found,0,0,-903.638916016
2012-07-19 16:48:49.671000,Off,Tag not found,0,0,-903.650024414
2012-07-19 16:49:49.671000,Off,Tag not found,0,0,-903.661132812
2012-07-19 16:50:49.671000,Off,Tag not found,0,0,-903.672180176
2012-07-19 16:51:49.671000,Off,Tag not found,0,0,-903.683288574
2012-07-19 16:52:49.671000,Off,Tag not found,0,0,-903.694396973
2012-07-19 16:53:49.671000,Off,Tag not found,0,0,-903.705444336
2012-07-19 16:54:49.671000,Off,Tag not found,0,0,-903.716552734
2012-07-19 16:55:49.671000,Off,Tag not found,0,0,-903.727661133
2012-07-19 16:56:49.671000,Off,Tag not found,0,0,-903.738769531
2012-07-19 16:57:49.671000,Off,Tag not found,0,0,-903.749816895
2012-07-19 16:58:49.671000,Off,Tag not found,0,0,-903.760925293
2012-07-19 16:59:49.671000,Off,Tag not found,0,0,-903.772033691
2012-07-19 17:00:49.671000,Off,Tag not found,0,0,-903.783081055
2012-07-19 17:01:49.671000,Off,Tag not found,0,0,-903.794189453
2012-07-19 17:02:49.671000,Off,Tag not found,0,0,-903.805297852
2012-07-19 17:03:49.671000,Off,Tag not found,0,0,-903.81640625
2012-07-19 17:04:49.671000,Off,Tag not found,0,0,-903.827453613
2012-07-19 17:05:49.671000,Off,Tag not found,0,0,-903.838562012
2012-07-19 17:06:49.671000,Off,Tag not found,0,0,-903.84967041
2012-07-19 17:07:49.671000,Off,Tag not found,0,0,-903.860778809
2012-07-19 17:08:49.671000,Off,Tag not found,0,0,-903.871826172
2012-07-19 17:09:49.671000,Off,Tag not found,0,0,-903.88293457
2012-07-19 17:10:49.671000,Off,Tag not found,0,0,-903.894042969
2012-07-19 17:11:49.671000,Off,Tag not found,0,0,-903.905090332
2012-07-19 17:12:49.671000,Off,Tag not found,0,0,-903.91619873
2012-07-19 17:13:49.671000,Off,Tag not found,0,0,-903.927307129
2012-07-19 17:14:49.671000,Off,Tag not found,0,0,-903.938415527
2012-07-19 17:15:49.671000,Off,Tag not found,0,0,-903.949462891
2012-07-19 17:16:49.671000,Off,Tag not found,0,0,-903.960571289
2012-07-19 17:17:49.671000,Off,Tag not found,0,0,-903.971679688
2012-07-19 17:18:49.671000,Off,Tag not found,0,0,-903.982727051
2012-07-19 17:19:49.671000,Off,Tag not found,0,0,-903.993835449
2012-07-19 17:20:49.671000,Off,Tag not found,0,0,-904.004943848
2012-07-19 17:21:49.671000,Off,Tag not found,0,0,-904.016052246
2012-07-19 17:22:49.671000,Off,Tag not found,0,0,-904.027099609
2012-07-19 17:23:49.671000,Off,Tag not found,0,0,-904.038208008
2012-07-19 17:24:49.671000,Off,Tag not found,0,0,-904.049316406
2012-07-19 17:25:49.671000,Off,Tag not found,0,0,-904.06036377
2012-07-19 17:26:49.671000,Off,Tag not found,0,0,-904.071472168
2012-07-19 17:27:49.671000,Off,Tag not found,0,0,-904.082580566
2012-07-19 17:28:49.671000,Off,Tag not found,0,0,-904.093688965
2012-07-19 17:29:49.671000,Off,Tag not found,0,0,-904.104736328
2012-07-19 17:30:49.671000,Off,Tag not found,0,0,-904.115844727
2012-07-19 17:31:49.671000,Off,Tag not found,0,0,-904.126953125
2012-07-19 17:32:49.671000,Off,Tag not found,0,0,-904.138061523
2012-07-19 17:33:49.671000,Off,Tag not found,0,0,-904.149108887
2012-07-19 17:34:49.671000,Off,Tag not found,0,0,-904.160217285
2012-07-19 17:35:49.671000,Off,Tag not found,0,0,-904.171325684
2012-07-19 17:36:49.671000,Off,Tag not found,0,0,-904.182373047
2012-07-19 17:37:49.671000,Off,Tag not found,0,0,-904.193481445
2012-07-19 17:38:49.671000,Off,Tag not found,0,0,-904.204589844
2012-07-19 17:39:49.671000,Off,Tag not found,0,0,-904.215698242
2012-07-19 17:40:49.671000,Off,Tag not found,0,0,-904.226745605
2012-07-19 17:41:49.671000,Off,Tag not found,0,0,-904.237854004
2012-07-19 17:42:49.671000,Off,Tag not found,0,0,-904.248962402
2012-07-19 17:43:49.671000,Off,Tag not found,0,0,-904.260009766
2012-07-19 17:44:49.671000,Off,Tag not found,0,0,-904.271118164
2012-07-19 17:45:49.671000,Off,Tag not found,0,0,-904.282226562
2012-07-19 17:46:49.671000,Off,Tag not found,0,0,-904.293334961
2012-07-19 17:47:49.671000,Off,Tag not found,0,0,-904.304382324
2012-07-19 17:48:49.671000,Off,Tag not found,0,0,-904.315490723
2012-07-19 17:49:49.671000,Off,Tag not found,0,0,-904.326599121
2012-07-19 17:50:49.671000,Off,Tag not found,0,0,-904.337646484
2012-07-19 17:51:49.671000,Off,Tag not found,0,0,-904.348876953
2012-07-19 17:52:49.671000,Off,Tag not found,0,0,-904.359924316
2012-07-19 17:53:49.671000,Off,Tag not found,0,0,-904.370849609
2012-07-19 17:54:49.671000,Off,Tag not found,0,0,-904.382080078
2012-07-19 17:55:49.671000,Off,Tag not found,0,0,-904.393249512
2012-07-19 17:56:49.671000,Off,Tag not found,0,0,-904.40447998
2012-07-19 17:57:49.671000,Off,Tag not found,0,0,-904.415710449
2012-07-19 17:58:49.671000,Off,Tag not found,0,0,-904.426940918
2012-07-19 17:59:49.671000,Off,Tag not found,0,0,-904.438110352
2012-07-19 18:00:49.671000,Off,Tag not found,0,0,-904.44934082
2012-07-19 18:01:49.671000,Off,Tag not found,0,0,-904.460571289
2012-07-19 18:02:49.671000,Off,Tag not found,0,0,-904.471801758
2012-07-19 18:03:49.671000,Off,Tag not found,0,0,-904.482971191
2012-07-19 18:04:49.671000,Off,Tag not found,0,0,-904.49420166
